timestamp,face_found,ear,mar,perclos,eyes_closed,yawning,pitch,yaw,roll,head_drop,drowsy
0.045,True,0.325,0.456,0.0,False,False,-159.2,10.2,-4.1,False,False
0.109,True,0.329,0.453,0.0,False,False,-160.6,8.1,-3.6,False,False
0.129,True,0.283,0.455,0.0,False,False,-161.4,7.5,-3.8,False,False
0.142,True,0.239,0.456,0.013,True,False,-160.5,8.0,-4.2,False,False
0.172,True,0.239,0.452,0.025,True,False,-158.5,7.1,-4.3,False,False
0.197,True,0.237,0.454,0.037,True,False,-158.9,8.0,-4.4,False,False
0.225,True,0.238,0.455,0.048,True,False,-158.0,7.6,-4.5,False,False
0.258,True,0.248,0.452,0.06,True,False,-157.2,7.0,-4.5,False,False
0.297,True,0.25,0.455,0.071,True,False,-157.7,6.9,-4.6,False,False
0.324,True,0.246,0.454,0.081,True,False,-157.1,6.9,-4.5,False,False
0.355,True,0.245,0.452,0.092,True,False,-157.9,5.9,-4.7,False,False
0.407,True,0.267,0.45,0.091,False,False,-157.8,4.9,-4.7,False,False
0.433,True,0.28,0.45,0.09,False,False,-157.7,5.0,-5.0,False,False
0.466,True,0.287,0.449,0.089,False,False,-157.3,4.8,-5.0,False,False
0.499,True,0.299,0.451,0.088,False,False,-157.7,5.6,-5.1,False,False
0.533,True,0.297,0.462,0.087,False,False,-158.3,5.9,-5.2,False,False
0.562,True,0.29,0.457,0.086,False,False,-159.1,6.5,-4.9,False,False
0.601,True,0.295,0.453,0.085,False,False,-159.6,7.4,-4.9,False,False
0.626,True,0.303,0.452,0.084,False,False,-159.5,7.2,-4.8,False,False
0.657,True,0.3,0.453,0.083,False,False,-159.7,6.6,-4.9,False,False
0.698,True,0.302,0.458,0.082,False,False,-159.2,6.2,-5.0,False,False
0.722,True,0.3,0.457,0.082,False,False,-158.9,6.4,-4.9,False,False
0.753,True,0.303,0.464,0.081,False,False,-159.2,7.1,-4.6,False,False
0.809,True,0.299,0.46,0.08,False,False,-158.7,6.8,-4.6,False,False
0.837,True,0.295,0.453,0.079,False,False,-159.1,6.8,-4.7,False,False
0.877,True,0.299,0.456,0.078,False,False,-159.9,6.3,-4.7,False,False
0.904,True,0.29,0.451,0.078,False,False,-159.6,7.9,-4.4,False,False
0.936,True,0.292,0.448,0.077,False,False,-160.2,7.8,-4.2,False,False
0.968,True,0.284,0.45,0.076,False,False,-161.0,6.9,-4.2,False,False
0.998,True,0.276,0.452,0.075,False,False,-161.8,6.8,-4.2,False,False
1.034,True,0.285,0.45,0.075,False,False,-163.1,6.3,-4.0,False,False
1.057,True,0.279,0.449,0.074,False,False,-164.4,6.7,-4.0,False,False
1.098,True,0.287,0.46,0.073,False,False,-163.9,6.9,-4.2,False,False
1.122,True,0.281,0.458,0.073,False,False,-164.1,8.2,-4.2,False,False
1.154,True,0.275,0.455,0.072,False,False,-164.9,9.4,-4.3,False,False
1.203,True,0.274,0.452,0.071,False,False,-165.2,7.4,-4.5,False,False
1.238,True,0.265,0.45,0.071,False,False,-164.9,8.6,-4.6,False,False
1.272,True,0.273,0.449,0.07,False,False,-164.4,8.7,-4.5,False,False
1.305,True,0.268,0.446,0.07,False,False,-164.7,9.6,-4.7,False,False
1.339,True,0.274,0.447,0.069,False,False,-165.0,9.9,-5.0,False,False
1.362,True,0.266,0.447,0.068,False,False,-165.5,10.3,-5.1,False,False
1.398,True,0.26,0.445,0.068,False,False,-166.2,10.6,-5.4,False,False
1.428,True,0.266,0.447,0.067,False,False,-166.6,10.2,-5.5,False,False
1.464,True,0.266,0.448,0.067,False,False,-166.9,9.6,-5.5,False,False
1.498,True,0.263,0.447,0.066,False,False,-167.1,9.8,-5.6,False,False
1.526,True,0.262,0.446,0.066,False,False,-166.5,10.1,-5.4,False,False
1.557,True,0.262,0.447,0.065,False,False,-166.7,9.7,-5.5,False,False
1.603,True,0.259,0.447,0.065,False,False,-167.1,10.1,-5.5,False,False
1.641,True,0.258,0.444,0.064,False,False,-166.9,9.4,-5.4,False,False
1.673,True,0.263,0.445,0.063,False,False,-167.4,10.0,-5.1,False,False
1.703,True,0.243,0.446,0.071,True,False,-168.0,10.0,-5.5,False,False
1.736,True,0.248,0.445,0.078,True,False,-168.1,9.8,-5.5,False,False
1.762,True,0.245,0.446,0.085,True,False,-168.2,9.1,-5.5,False,False
