timestamp,face_found,ear,mar,perclos,eyes_closed,yawning,drowsy
0.421,True,0.225,0.003,0.0,False,False,False
0.485,True,0.228,0.003,0.0,False,False,False
0.508,True,0.133,0.002,0.333,True,False,False
0.533,True,0.077,0.001,0.5,True,False,True
0.561,True,0.091,0.003,0.6,True,False,True
0.591,True,0.144,0.003,0.667,True,False,True
0.625,True,0.211,0.003,0.571,False,False,True
0.656,True,0.219,0.002,0.5,False,False,True
0.69,True,0.211,0.004,0.444,False,False,True
0.72,True,0.219,0.003,0.4,False,False,True
0.753,True,0.221,0.003,0.364,False,False,False
0.785,True,0.22,0.004,0.333,False,False,False
0.816,True,0.224,0.003,0.308,False,False,False
0.849,True,0.232,0.003,0.286,False,False,False
0.881,True,0.223,0.003,0.267,False,False,False
0.927,True,0.232,0.002,0.25,False,False,False
0.962,True,0.237,0.001,0.235,False,False,False
0.992,True,0.234,0.002,0.222,False,False,False
1.025,True,0.243,0.004,0.211,False,False,False
1.056,True,0.243,0.003,0.2,False,False,False
1.088,True,0.247,0.003,0.19,False,False,False
1.183,True,0.245,0.004,0.182,False,False,False
1.212,True,0.243,0.003,0.174,False,False,False
1.23,True,0.243,0.002,0.167,False,False,False
1.249,True,0.235,0.003,0.16,False,False,False
1.266,True,0.226,0.001,0.154,False,False,False
1.288,True,0.231,0.002,0.148,False,False,False
1.328,True,0.233,0.002,0.143,False,False,False
1.362,True,0.234,0.002,0.138,False,False,False
1.392,True,0.245,0.002,0.133,False,False,False
1.424,True,0.252,0.001,0.129,False,False,False
1.456,True,0.256,0.002,0.125,False,False,False
1.487,True,0.255,0.001,0.121,False,False,False
1.519,True,0.244,0.001,0.118,False,False,False
1.551,True,0.232,0.001,0.114,False,False,False
1.585,True,0.231,0.002,0.111,False,False,False
1.618,True,0.232,0.002,0.108,False,False,False
1.647,True,0.228,0.002,0.105,False,False,False
1.681,True,0.238,0.002,0.103,False,False,False
1.729,True,0.24,0.002,0.1,False,False,False
1.761,True,0.235,0.001,0.098,False,False,False
1.792,True,0.237,0.001,0.095,False,False,False
1.825,True,0.242,0.001,0.093,False,False,False
1.856,True,0.246,0.002,0.091,False,False,False
1.888,True,0.243,0.002,0.089,False,False,False
1.921,True,0.243,0.001,0.087,False,False,False
1.952,True,0.244,0.001,0.085,False,False,False
1.984,True,0.24,0.001,0.083,False,False,False
2.016,True,0.238,0.0,0.082,False,False,False
2.048,True,0.247,0.001,0.08,False,False,False
2.079,True,0.239,0.001,0.078,False,False,False
2.128,True,0.239,0.001,0.077,False,False,False
2.159,True,0.235,0.001,0.075,False,False,False
2.191,True,0.238,0.001,0.074,False,False,False
2.223,True,0.236,0.002,0.073,False,False,False
2.255,True,0.241,0.002,0.071,False,False,False
2.288,True,0.244,0.002,0.07,False,False,False
2.32,True,0.245,0.002,0.069,False,False,False
2.351,True,0.235,0.002,0.068,False,False,False
2.382,True,0.243,0.003,0.067,False,False,False
2.415,True,0.227,0.126,0.066,False,False,False
2.447,True,0.228,0.154,0.065,False,False,False
2.479,True,0.23,0.174,0.063,False,False,False
2.528,True,0.235,0.17,0.062,False,False,False
2.559,True,0.235,0.154,0.062,False,False,False
2.591,True,0.233,0.154,0.061,False,False,False
2.623,True,0.238,0.158,0.06,False,False,False
2.655,True,0.23,0.163,0.059,False,False,False
2.688,True,0.24,0.161,0.058,False,False,False
2.721,True,0.237,0.166,0.057,False,False,False
2.751,True,0.243,0.169,0.056,False,False,False
2.783,True,0.236,0.146,0.056,False,False,False
2.815,True,0.24,0.157,0.055,False,False,False
2.846,True,0.229,0.144,0.054,False,False,False
2.879,True,0.238,0.148,0.053,False,False,False
2.927,True,0.235,0.167,0.053,False,False,False
2.959,True,0.237,0.16,0.052,False,False,False
2.991,True,0.232,0.124,0.051,False,False,False
3.023,True,0.226,0.138,0.051,False,False,False
3.054,True,0.223,0.125,0.05,False,False,False
3.087,True,0.229,0.126,0.049,False,False,False
3.119,True,0.228,0.134,0.049,False,False,False
3.151,True,0.234,0.133,0.048,False,False,False
3.182,True,0.236,0.12,0.048,False,False,False
3.214,True,0.24,0.118,0.047,False,False,False
3.247,True,0.244,0.11,0.047,False,False,False
3.279,True,0.239,0.079,0.046,False,False,False
3.327,True,0.243,0.103,0.045,False,False,False
3.359,True,0.242,0.105,0.045,False,False,False
3.391,True,0.239,0.098,0.044,False,False,False
3.423,True,0.235,0.095,0.044,False,False,False
3.454,True,0.239,0.1,0.043,False,False,False
3.487,True,0.236,0.096,0.043,False,False,False
3.519,True,0.234,0.08,0.043,False,False,False
3.551,True,0.234,0.066,0.042,False,False,False
3.583,True,0.241,0.05,0.042,False,False,False
3.615,True,0.237,0.056,0.041,False,False,False
3.647,True,0.239,0.069,0.041,False,False,False
3.679,True,0.236,0.057,0.04,False,False,False
3.727,True,0.235,0.058,0.04,False,False,False
3.759,True,0.237,0.047,0.04,False,False,False
3.791,True,0.24,0.051,0.039,False,False,False
3.823,True,0.243,0.044,0.039,False,False,False
3.855,True,0.238,0.016,0.038,False,False,False
3.887,True,0.241,0.005,0.038,False,False,False
3.919,True,0.244,0.004,0.038,False,False,False
3.951,True,0.244,0.003,0.037,False,False,False
3.983,True,0.248,0.003,0.037,False,False,False
4.016,True,0.244,0.003,0.037,False,False,False
4.047,True,0.249,0.003,0.036,False,False,False
4.078,True,0.249,0.003,0.036,False,False,False
4.127,True,0.247,0.003,0.036,False,False,False
4.159,True,0.25,0.003,0.035,False,False,False
4.191,True,0.25,0.003,0.035,False,False,False
4.223,True,0.245,0.002,0.035,False,False,False
4.256,True,0.249,0.002,0.034,False,False,False
4.287,True,0.245,0.002,0.034,False,False,False
4.318,True,0.244,0.002,0.034,False,False,False
4.351,True,0.254,0.002,0.034,False,False,False
4.383,True,0.245,0.002,0.033,False,False,False
4.415,True,0.247,0.003,0.033,False,False,False
4.447,True,0.25,0.002,0.033,False,False,False
4.479,True,0.256,0.002,0.033,False,False,False
4.527,True,0.258,0.003,0.032,False,False,False
4.559,True,0.263,0.004,0.032,False,False,False
4.591,True,0.256,0.003,0.032,False,False,False
4.624,True,0.26,0.003,0.031,False,False,False
4.656,True,0.261,0.002,0.031,False,False,False
4.687,True,0.257,0.003,0.031,False,False,False
4.72,True,0.254,0.003,0.031,False,False,False
4.751,True,0.256,0.004,0.031,False,False,False
4.783,True,0.261,0.003,0.03,False,False,False
4.815,True,0.265,0.003,0.03,False,False,False
4.847,True,0.261,0.002,0.03,False,False,False
4.88,True,0.257,0.003,0.03,False,False,False
4.927,True,0.263,0.002,0.029,False,False,False
4.959,True,0.257,0.002,0.029,False,False,False
4.991,True,0.257,0.002,0.029,False,False,False
5.023,True,0.261,0.002,0.029,False,False,False
5.055,True,0.263,0.002,0.029,False,False,False
5.087,True,0.264,0.002,0.028,False,False,False
5.12,True,0.263,0.002,0.028,False,False,False
5.151,True,0.266,0.002,0.028,False,False,False
5.183,True,0.27,0.002,0.028,False,False,False
5.215,True,0.272,0.002,0.028,False,False,False
5.247,True,0.264,0.002,0.027,False,False,False
5.279,True,0.262,0.003,0.027,False,False,False
5.328,True,0.264,0.003,0.027,False,False,False
5.358,True,0.266,0.003,0.027,False,False,False
5.391,True,0.265,0.003,0.027,False,False,False
5.422,True,0.266,0.003,0.026,False,False,False
5.455,True,0.268,0.003,0.026,False,False,False
5.487,True,0.266,0.003,0.026,False,False,False
5.519,True,0.267,0.002,0.026,False,False,False
5.551,True,0.267,0.003,0.026,False,False,False
5.583,True,0.267,0.003,0.026,False,False,False
5.615,True,0.268,0.002,0.025,False,False,False
5.647,True,0.272,0.002,0.025,False,False,False
5.68,True,0.27,0.002,0.025,False,False,False
5.727,True,0.276,0.003,0.025,False,False,False
5.759,True,0.269,0.002,0.025,False,False,False
5.791,True,0.268,0.003,0.025,False,False,False
5.822,True,0.264,0.003,0.025,False,False,False
5.854,True,0.265,0.003,0.024,False,False,False
5.887,True,0.266,0.003,0.024,False,False,False
5.919,True,0.267,0.002,0.024,False,False,False
5.95,True,0.27,0.002,0.024,False,False,False
5.982,True,0.269,0.002,0.024,False,False,False
6.015,True,0.265,0.002,0.024,False,False,False
6.046,True,0.268,0.002,0.024,False,False,False
6.079,True,0.267,0.001,0.023,False,False,False
6.127,True,0.269,0.002,0.023,False,False,False
6.158,True,0.269,0.002,0.023,False,False,False
6.19,True,0.272,0.002,0.023,False,False,False
6.223,True,0.269,0.002,0.023,False,False,False
6.255,True,0.273,0.001,0.023,False,False,False
6.286,True,0.273,0.002,0.023,False,False,False
6.319,True,0.272,0.002,0.022,False,False,False
6.351,True,0.275,0.002,0.022,False,False,False
6.383,True,0.273,0.002,0.022,False,False,False
6.416,True,0.271,0.002,0.022,False,False,False
6.447,True,0.266,0.002,0.022,False,False,False
6.479,True,0.276,0.002,0.022,False,False,False
6.526,True,0.277,0.002,0.017,False,False,False
6.559,True,0.28,0.002,0.011,False,False,False
6.591,True,0.277,0.002,0.0,False,False,False
6.622,True,0.282,0.002,0.0,False,False,False
6.655,True,0.281,0.002,0.0,False,False,False
6.687,True,0.286,0.002,0.0,False,False,False
